sentence,label_string,label_numeric
• Wir entlasten vor allem Menschen mit niedrigen und mittleren Einkommen.,Keine Behauptung,0
Unser Ziel für die Sozialversicherungsbeiträge: Wir wollen uns wieder auf die  Prozent hinbewegen .,Keine Behauptung,0
Wir stellen Überstunden zuschläge bei Vollzeitarbeit steuerfrei.,Keine Behauptung,0
"Wer freiwillig mehr arbeiten will, soll mehr Netto vom Brutto haben.",Keine Behauptung,0
So stärken wir unsere Leistungsträger im ländlichen Raum.,Behauptung,1
Künftig soll für alle Unternehmen anstelle der täglichen eine wöchentliche Höchstarbeitszeit gelten.,Keine Behauptung,0
Für ausländische Fachkräfte richten wir eine digitale „Work -and -Stay -Agentur“ ein.,Keine Behauptung,0
"Sie bietet Service aus einer Hand: Anwerbung, Arbeitsplatzvermittlung, Prüfung der Einreisevoraussetzungen , Visavergabe , Aufenthaltstitel .",Keine Behauptung,0
Aufbruch für die Wirtschaft – mit neuer Freiheit,Keine Behauptung,0
"Deshalb setzen wir auf Wachstum, Investitionen, Freiräume für unsere Unternehmen und gute Arbeitsplätze.",Keine Behauptung,0
"Worauf es jetzt vor allem ankommt: • Wir senken die Unternehmenssteuerbelastung auf maximal  Prozent, schaffen den Rest -Soli ab und verbessern Abschreibungen und Verlustverrechnung.",Keine Behauptung,0
Wir beseitigen mit Entrümpelungsgesetzen und Bürokratie -Checks überflüssigen Papierkram.,Keine Behauptung,0
Statistikpflichten und Doppelstrukturen bauen wir ab.,Keine Behauptung,0
Das nationale Lieferkettengesetz schaffen wir ab.,Keine Behauptung,0
Dazu nehmen wir die deutsche Übererfüllung von europäischem Recht zurück und unterbinden sie künftig.,Behauptung,1
"Energie bezahlbar machen, Klima marktwirtschaftlich schützen",Keine Behauptung,0
Wir beenden die ideologiegetriebene Politik der Ampel.,Behauptung,1
Mit den Menschen und nicht gegen sie – so funktioniert Energie und Klimapolitik.,Keine Behauptung,0
• Wir senken die Stromsteuer und die Netzentgelte.,Keine Behauptung,0
Der Strom muss für alle schnell und spürbar günstiger werden.,Keine Behauptung,0
"Wir bauen Netze , Speicher und alle Erneuerbaren aus und setzen auf Bezahlbarkeit und Versorgungssicherheit .",Keine Behauptung,0
Nur mehr Angebot senkt die Preise .,Behauptung,1
Wir halten an der Option Kern energie fest.,Keine Behauptung,0
"Dabei setzen wir auf die Forschung zu Kernenergie der vierten und fünften Generation, Small Modular Reactors und Fusionskraftwerke n.",Keine Behauptung,0
Die Wiederaufnahme des Betriebs der zuletzt abgeschalteten Kernkraftwerke prüfen wir.,Keine Behauptung,0
Wir schaffen das Heizungsgesetz der Ampel ab.,Keine Behauptung,0
Mit dem bürokratischen Reinregieren in den Heizungskeller muss Schluss sein.,Keine Behauptung,0
Wir fördern technologieoffen emissionsarme Wärmelösungen.,Keine Behauptung,0
"Er ist das richtige Instrument, um die Emissionsmenge effizient zu begrenzen und damit das Klima bestmöglich zu schützen.",Keine Behauptung,0
"Deutschland fit machen für Innovationen , Digitalisierung und Startups Forschung, Innovationen , Technologie n und Transfer (FIT T) sind die Grundlage für eine wettbewerbsfähige Wirtschaft mit gut bezahlten Arbeitsplätzen.",Keine Behauptung,0
Ausgründungen und der Transfer hin zu marktfähigen Lösungen müssen besser gelingen .,Keine Behauptung,0
Mit „Made in Germany“ wieder an die Spitze!,Keine Behauptung,0
Wir treiben mit Digitalisierung sowie souveränen KI und Cloudanwendungen die Re-Industrialisierung unseres Landes voran.,Keine Behauptung,0
"Zukunftstechnologien brauchen Freiräume , der Staat braucht klare Zuständigkeiten.",Behauptung,1
"Wir sorgen dafür , dass Wirtschaft und Staat bis  , Prozent des Bruttoinlandsprodukts für Forschung und Entwicklung aufwenden.",Keine Behauptung,0
Wir legen eine Hightech -Agenda vor.,Keine Behauptung,0
Kompetenzzentrum und Innovationsstandort für Zukunftstechnologien werden – von der Luft und Raumfahrt bis zum Quantencomputing.,Keine Behauptung,0
"Wir werden eine neue , ambitionierte Raumfahrtstrategie verfolgen.",Keine Behauptung,0
Mit einer „Gründerschutzzone“ befreien wir in der Startphase weitgehend von bürokratischen Vorschriften.,Keine Behauptung,0
Die Datenschutzpolitik muss eine echte Datenchancenpolitik werden.,Keine Behauptung,0
Die Chancen von Open Data für Innovationen und Wachstum müssen wir nutzen.,Behauptung,1
Für einen starken und gerechten Sozialstaat,Keine Behauptung,0
Das erwarten die Arbeitnehmerinnen und Arbeitnehmer von der Politik.,Keine Behauptung,0
"Und zwar zu Recht, denn sie schaffen mit ihrem Leistungswillen unseren Wohlstand.",Keine Behauptung,0
• Wir schaffen das sogenannte „Bürgergeld“ ab und ersetzen es durch eine Neue Grundsicherung.,Keine Behauptung,0
Fördern und Fordern muss immer gelten.,Keine Behauptung,0
"Wir stehen zum gesetzlichen Mindestlohn und einer starken , unabhängigen Mindestlohnkommission.",Keine Behauptung,0
Sache der Sozialpartner sein – im Sinne von Fairness und wirtschaftlicher Vernunft .,Keine Behauptung,0
Wir fördern die Vorsorge mit Eigentum und Vermögen durch höhere Freibeträge bei Grunderwerb und Erbschaftsteuer sowie beim S paren.,Keine Behauptung,0
Wir halten an der bestehenden gesetzlichen Regelung zum Renteneintrittsalter fest .,Keine Behauptung,0
Rentenkürzungen wir d es mit uns nicht geben .,Keine Behauptung,0
"Wer über das gesetzliche Rentenalter hinaus freiwillig weiterarbeitet, bekommt sein Gehalt bis zu .",Keine Behauptung,0
Euro im Monat steuerfrei.,Keine Behauptung,0
Wir führen eine Frühstart -Rente ein.,Keine Behauptung,0
Dafür fördert der Staat für alle  bis  -Jährigen mit  Euro pro Monat die individuelle und kapitalgedeckte private Altersvorsorge.,Keine Behauptung,0
So bilden wir für die frühe private Altersv orsorge ein Startvermögen .,Keine Behauptung,0
Wir entlasten die Rentnerinnen und Rentner auch ganz praktisc h und wollen für den Regelfall deren Steuererklärung entbehrlich machen.,Keine Behauptung,0
Unserer Landwirtschaft den Rücken stärken,Keine Behauptung,0
"Landwirte verdienen Anerkennung, Respekt und Vertrauen.",Behauptung,1
Wir sorgen für Entlastungen durch bessere Rahmenbedingungen und Planungssicherheit.,Keine Behauptung,0
Worauf es jetzt vor allem ankommt: • Wir führen die Agrardiesel rück vergütung wieder vollständig ein.,Keine Behauptung,0
So entlasten wir landwirtschaftliche Betriebe.,Keine Behauptung,0
"Wir machen uns in Brüssel dafür stark, dass das Agrarbudget gut ausgestattet bleibt.",Keine Behauptung,0
Gleichzeitig muss die Gemeinsame Agrarpolitik drastisch vereinfacht werden.,Behauptung,1
Wir sagen Bürokratie den Kampf an:,Keine Behauptung,0
"Stoffstrom bilanz im Düngerecht, Bodengesetz, Taxonomie.",Keine Behauptung,0
Die Land und Forstwirte können sich auf uns verlassen:,Keine Behauptung,0
Wir unterstützen innovative Technologien und nachhaltige Bewirtschaftung.,Keine Behauptung,0
Die zwangsweise Stilllegung von Flächen wird es mit uns nicht geben .,Keine Behauptung,0
"Wölfe müssen – regional unterschiedlich – bejagt werden können, damit weniger Weidetiere gerissen werden.",Keine Behauptung,0
"Recht und Ordnung durchsetzen Wir setzen auf eine Null -Toleranz -Strategie , stärken Polizei und Strafverfolgungsbehörden den Rücken und geben ihnen die notwendigen Befugnisse an die Hand , die es braucht .",Keine Behauptung,0
• Wir verschärfen das Strafrecht und beschleunigen Verfahren.,Keine Behauptung,0
Die Strafe muss der Tat auf dem Fuße folgen.,Behauptung,1
Wir setzen verstärkt auf die elektronische Fußfessel.,Keine Behauptung,0
Gewalttäter gegen Frauen müssen gestoppt werden.,Behauptung,1
Wir setzen mehr Video kameras sowie Systeme zur automatisierten Gesichtserkennung an Brennpunkten und Gefahrenorten ein.,Keine Behauptung,0
Straftäter dürfen nicht einfach so davonkommen .,Keine Behauptung,0
Wir verpflichten die Internetanbieter zur Speicherung der IP-Adressen .,Keine Behauptung,0
Gegen jede Form der Gewalt gegen Kinder gehen wir konsequent vor – auch im Netz.,Keine Behauptung,0
Wir schaffen d as Cannabis -Gesetz der Ampel ab.,Keine Behauptung,0
Dieses Gesetz schützt Dealer und setzt unsere Kinder und Jugendlichen dem Drogenkonsum und der Sucht aus.,Behauptung,1
Illegale Migration stoppen,Keine Behauptung,0
Unser Land braucht eine grundsätzliche Wende in der Migrationspolitik.,Behauptung,1
Eine strikte Begrenzung der Migration ist dringend nötig.,Behauptung,1
• Wir kontrollieren die deutschen Staatsg renzen und setzen konsequente Zurückweisungen an der Grenze durch.,Keine Behauptung,0
Wir beschleunigen Asylverfahren und Rückführungen.,Keine Behauptung,0
Dazu erklären wir weitere Länder zu sicheren Herkunftsländern und schieben auch wieder nach Syrien und Afghanistan ab.,Behauptung,1
Wir setzen den Familiennachzug zu subsidiär Schutzberechtigten aus und beenden alle freiwilligen Aufnahmeprogramme.,Keine Behauptung,0
"Wir richten Sozialleistungen für Ausreisepflichtige an de m von Gerichten aufgestellten Grundsatz „Bett, Brot und Seife“ aus.",Keine Behauptung,0
Wir wollen das europäische Asylrecht ändern und kennen unsere humanitäre Verantwortung .,Keine Behauptung,0
"Jeder, der in Europa Asyl beantragt , soll in einen sichere n Dritt staat überführt werden , dort sein Verfahren durchlaufen und dort bei Bedarf Schutz finden .",Keine Behauptung,0
Schutz und Sicherheit – die Feinde unseres Staates bekämpfen Den zunehmenden extremistischen Gefährdungen treten wir mit einem  -Grad -Blick entgegen.,Keine Behauptung,0
"Wir bekämpfen jede Form von Extremismus, Gewalt und Terror mit voller Härte.",Keine Behauptung,0
"Worauf es jetzt vor allem ankommt: • Wir stellen das Unterstützen von Terror -Organisationen konsequenter unter Strafe und greifen durch : Ausweisung, Entzug des Aufenthaltstitel s, Verlust der deutschen Staatsbürgerschaft.",Keine Behauptung,0
"Wir schließen Moscheen, in denen Hass und Antisemitismus gepredigt wird.",Keine Behauptung,0
Für Islamismus gibt es keinen rechtsfreien Raum.,Behauptung,1
Wir zeigen Rechtsextremisten die Rote Karte und bekämpfen sie mit voller Härte auf der Basis unseres  gestarteten Maßnahmenpakets .,Keine Behauptung,0
Wir begegnen Linksextremismus genauso konsequent.,Keine Behauptung,0
"Wir lassen nicht zu, dass offen zur Gewalt gegen unseren Staa t aufgerufen wir d und das Eigentum Dritter oder kritische Infrastrukturen ang egriffen werden .",Keine Behauptung,0
Wir bestrafen konsequent das Zeigen verfassungsfeindlicher Symbole sowie verfassungsfeindliche und antisemitische Äußerungen .,Keine Behauptung,0
Wir rüsten mit einer echten Zollpolizei auf und schöpfen Verbrechensgewinne ab.,Keine Behauptung,0
"Künftig müssen Kriminelle nachweisen, w oher ihr Vermögen kommt – von der Villa bis zur Yacht .",Keine Behauptung,0
"Verantwortung in Europa und der Welt übernehmen Wir müssen geopolitisch handlungsfähiger werden und unsere berechtigten nationalen Interessen strategisch klug vertreten , statt unsere internationalen Partner arrogant zu belehren.",Keine Behauptung,0
"• Wir stehen für ein Europa, das sich in die richtige Richtung entwickelt : weniger Bürokratie, mehr Wettbewerbsfähigkeit.",Keine Behauptung,0
Wir wollen die transatlantische Partnerschaft als Fundament der westlichen Welt stärken – gerade in bewegten Zeiten .,Keine Behauptung,0
Wir beleben unsere Beziehungen zu Frankreich und Polen neu :,Keine Behauptung,0
"Wir setzen Impulse beim Vorgehen gegen illegale Migratio n, für Wirtschaft und Innovationen , Sicherheit und Verteidigung und bauen die Infrastruktur in Richtung unsere r Nachbarländer aus .",Keine Behauptung,0
Wir schaffen einen Nationalen Sicherheitsrat mit Sitz im Bundeskanzleramt.,Keine Behauptung,0
"Damit vernetzen wir Außen -, Sicherheits -, Verteidigungs -, Handels -, Europa und Entwicklungspolitik .",Keine Behauptung,0
"Wir unterstützen die Ukraine mit diplomatisch en, finanziell en und humanitären Mitteln sowie mit Waffenlieferungen .",Keine Behauptung,0
Israel stehen wir bei seinem legitimen Kampf gegen den Terror zur Seite .,Behauptung,1
"Für Freiheit, Frieden und Sicherheit Frieden in Sicherheit und Freiheit ist die Richtschnur für unser sicherheitspolitisches Handeln.",Behauptung,1
Dafür bauen wir eine starke Bundeswehr auf.,Keine Behauptung,0
• Wir führen eine aufwachsende Wehrpflicht ein.,Keine Behauptung,0
Das ist notwendig für Frieden und Sicherheit unseres Landes.,Behauptung,1
Wir stehen zum Zwei -Prozent -Ziel – mindestens .,Keine Behauptung,0
Denn d ie NATO ist unsere Sicherheit sgarantie .,Behauptung,1
Wir stärken unsere Sicherheits und Verteidigungsindustrie .,Keine Behauptung,0
Bei der Beschaffung von Material und Ausrüstung wollen wir mehr Zusammenarbeit und Produktion in Europa.,Keine Behauptung,0
Wir übernehmen die Führung beim Aufbau eines europäischen Raketenabwehrs chirms.,Keine Behauptung,0
Die Bedrohung aus der Luft ist größer denn je.,Behauptung,1
Leitkultur und Zusammenhalt leben,Keine Behauptung,0
"Es gibt in unserem Land gewachsene Spielregeln und Normen, die von allen, die hier leben wollen, anerkannt und respektiert werden müssen.",Behauptung,1
• Wir führen verpflichtende Integrationsvereinbarungen ein .,Keine Behauptung,0
Für ein klares Bekenntnis zu unseren Werten,Keine Behauptung,0
"Unser Ziel ist, Integration eng zu begleiten und einzufordern .",Keine Behauptung,0
Wir schaffen bessere Startchancen durch ein breite s Angebot an Deutsch und Integrationskursen.,Keine Behauptung,0
Allen muss klar sein: Ohne deutsche Sprache geling t Integration nicht .,Behauptung,1
"Wir machen d ie Express -Einbürgerung der Ampel rückgängig , ebenso wie die generelle Möglichkeit der doppelten Staatsbürgerschaft.",Keine Behauptung,0
Der deutsche Pass steht am Ende der Integration und nicht am Anfang.,Keine Behauptung,0
"Wir entlasten Sportvereine und Menschen, die sich für andere engagieren.",Keine Behauptung,0
Die Ehrenamts und die Übungsleiterpauschale erhöhen wir spürbar.,Keine Behauptung,0
Wir setzen perspektivisch auf ein verpflichtende s Gesellschaftsjahr .,Keine Behauptung,0
Das eröffne t jungen Menschen Chancen und schafft ein neues Wir -Gefühl.,Behauptung,1
• Wir unterbinden ein en ferngesteuerten Islam.,Keine Behauptung,0
Schluss mit de m,Keine Behauptung,0
ausländischer Regi erungen über Moscheevereine und Islamverbände auf die deutschen Muslime !,Keine Behauptung,0
"Familie n unterstützen, Verantwortung übernehmen",Keine Behauptung,0
Familien sind echte Leistungsträger und schaffen Stabilität.,Behauptung,1
"Unser Anspruch : Wir geben Familien genug Spiel raum , um ihr Leben eigenverantwortlich gestalten zu können.",Keine Behauptung,0
• Wir verbessern Elternzeit und Elterngeld .,Keine Behauptung,0
Sie geben Familien mehr Zeit und unterstützen den Wunsch nach Aufgaben teilung .,Behauptung,1
Wir entwickeln perspektivisch den Kinderfreibetrag in Richtung des Grundfreibetrags der Eltern.,Keine Behauptung,0
Entsprechend heben wir auch das Kindergeld an.,Keine Behauptung,0
Zudem halten wir am Ehegattensplitting fest und wollen Kinder künftig stärker berücksichtigen .,Keine Behauptung,0
Zudem erhöhen wir die steuerliche Absetzbarkeit von Betreuungskosten .,Keine Behauptung,0
Wir schaffen das Selbstbestimmungsgesetz der Ampel wieder ab.,Keine Behauptung,0
Der Jugendschutz und das Erziehungsrecht der Eltern dürfen nicht untergraben werden.,Behauptung,1
Für gute Bildung Kinder sind unsere Zukunft und brauchen beste Startmöglichkeiten von Anfang an – und zwar alle.,Behauptung,1
"Dreh und Angelpunkt ist ein funktionierendes, verlässliches Bildungssystem.",Behauptung,1
• Wir setzen auf verpflichtende Sprachtests im Vorschulalter.,Keine Behauptung,0
Kinder mit Sprachproblemen müssen eine Kita oder Vorschule besuchen .,Keine Behauptung,0
"Wir stellen Anstrengung und Leistung wieder in den Mittelpunkt , angefangen bei Kernfächern wie Mathe und Deutsch bis hin zu den Bundesjugendspielen.",Keine Behauptung,0
Wir wollen ein bundesweit vergleichbares Abitur auf hohem Niveau .,Keine Behauptung,0
Bei den Anforderungen darf es keine Abstriche geben .,Behauptung,1
Wir unterstützen die Entwicklung der Berufsschulen.,Keine Behauptung,0
Für Flexibilität im Beruf fördern wir Teil und Weiterqualifizierungen.,Keine Behauptung,0
Wir verbessern das BAföG und die Hinzuverdienstmöglichkeiten.,Keine Behauptung,0
"Zudem sorgen wir dafür, dass die Beantragung unbürokratischer und schneller wird.",Keine Behauptung,0
"Wir stehen für eine hochwertige Gesundheitsversorgung, die auch auf dem Land verlässlich funktioniert.",Keine Behauptung,0
"Es geht uns um Daseinsvorsorge, Eigenverantwortung und Prävention.",Keine Behauptung,0
Worauf es jetzt vor allem ankommt: • Wir stärken die Strukturen in der Gesundheit sund Pflegeversorgung in Stadt und Land .,Behauptung,1
"Wir sorgen dafür, dass die langen Wartezeiten auf einen Arzttermin sinken.",Keine Behauptung,0
Wir stärken die Präsenzapotheken und geben ihnen eine Zukunft .,Keine Behauptung,0
Für viele Menschen sind sie der erste Ansprechpartner bei gesundheitlichen Problemen.,Behauptung,1
Wir verbessern die häusliche Pflege und die Situation der Angehörigen.,Keine Behauptung,0
Pflege rische Leistungen müssen flexibler eingesetzt werden können.,Keine Behauptung,0
"Wir gehen den Personalnotstand an , indem wir den Pflegeberuf attraktiver machen .",Keine Behauptung,0
Es muss mehr Planbarkeit und Aufstiegsmöglichkeiten geben .,Behauptung,1
"Für Bauen, Wohnen und zukunftsfähige Mobilität",Keine Behauptung,0
"Egal ob Stadt oder Land – Menschen sollen gut leben, wo ihr zu Hause ist.",Keine Behauptung,0
"Dafür braucht es gleichwertige Lebensverhältnisse und eine Politik, die sich dazu bekennt.",Behauptung,1
Dazu entschlacken wir das Bauordnungs und Raumordnungsrecht grundlegend und reduzieren die Vorschriften spürbar und verantwort ungsbewusst .,Keine Behauptung,0
Nur günstige res und mehr Bauen sorgt für günstige re Mieten.,Behauptung,1
"Wir erlauben dauerhaftes Bauen auch dort, wo bisher nur vereinfachtes Bauen nach Sonderregelungen erlaubt war.",Keine Behauptung,0
Zudem setzen wir auf einfaches und innovatives Bauen.,Keine Behauptung,0
Wir stehen für einen wirksamen und angemessenen Mieterschutz – dazu gehören auch die Regeln zur Miethöhe.,Keine Behauptung,0
Der soziale Wohnungsbau muss solide gefördert und das Wohngeld regelmäßig angepasst werden .,Behauptung,1
Wir machen Kosten für energetische Sanierungen von der Erbschaft und Schenkungsteuer abzugsfähig.,Keine Behauptung,0
So fördern wir die effiziente energetische Sanierung des Immobilienbestands .,Keine Behauptung,0
"Wir machen die Bahn flott , indem wir die Strukturen angehen .",Keine Behauptung,0
Für mehr Wettbewerb müssen Infrastruktur und Transportbereich stärker als bisher voneinander getrennt werden.,Behauptung,1
Wir stehen zum Auto und zur Automobilindustrie.,Keine Behauptung,0
Das Verbrenner -Verbot muss rückgängig gemacht werden.,Behauptung,1
Für die E -Mobilität muss die Ladeinfrastruktur angemessen ausgebaut werden.,Behauptung,1
"Wir machen d ie digitale Kraftfahrzeug -Anmeldung zum Standard, indem wir sie bundesweit einheitlich und unkompliziert gestalten.",Keine Behauptung,0
Das gilt auch für die Einbindung der Versicherer.,Keine Behauptung,0
Zudem führen wir die digitale Fahrzeugakte ein.,Keine Behauptung,0
Funktionierender Staat – unser Zukunftsversprechen,Keine Behauptung,0
Die Ampel hat gestritten und Vertrauen zerstört.,Behauptung,1
"Wir wollen handeln und Vertrauen zurückgewinnen – schneller, effizienter, digital und mit schlankeren Strukturen.",Keine Behauptung,0
• Wir halbieren die Zahl der Beauftragten und kommen in der Ministerialverwaltung und der Bundestagsverwaltung mit mindestens zehn Prozent weniger Personal aus.,Keine Behauptung,0
Wir halten an der Schuldenbremse des Grundgesetzes fest.,Keine Behauptung,0
Die Schulden von heute sind die Steuer erhöhungen von morgen.,Behauptung,1
Wir schützen deutsche Sparer.,Keine Behauptung,0
Allen Formen einer Haftung Deutschlands für Schulden anderer EU -Staaten erteilen wir eine klare Absage.,Keine Behauptung,0
"Wir wollen Planungs und Genehmigungsverfahren beschleunigen – gerade bei Bau, Verkehr und digitalen Infrastrukturen.",Keine Behauptung,0
"Wir werden mit einem Sofortprogramm ab der ersten Stunde beweisen, dass richtige Politik einen Unterschied machen kann.",Keine Behauptung,0
"Liebe Wählerinnen und Wähler, liebe Bürgerinnen und Bürger, Sie haben eine Regierung verdient , die unser Land besser regiert .",Behauptung,1
"Wir freuen uns über jede Hand, die mit anpackt, damit Deutschland wieder nach vorne kommt.",Keine Behauptung,0
Dafür bitten wir Sie um Ihre Unterstützung – mit Ihren beiden Stimmen für die Union!,Keine Behauptung,0
"Für ein Deutschland, auf das wir wieder stolz sein können Unsere Bundesrepublik Deutschland ist eine großartige Erfolgsgeschichte: Wiederaufbau, Wirtschaftswunder und Weltmeistertitel, Westbindung, Friedliche Revolution, Wiedervereinigung und Aufbauleistung der Ostdeutschen, Wohlstand, Soziale Marktwirtschaft mit guter Arbeit und starken Sozialversicherungen, „Made in Germany“ als weltweit bekanntes Qualitätssiegel, eine starke Europäische Union, unsere Freundschaft mit Frankreich und Polen, Aussöhnung mit Israel und transatla ntische Partnerschaft, Freiheit und Si cherheit.",Behauptung,1
"Die vergangenen Jahre zeichnen leider ein anderes, schlechteres Bild unseres Landes:",Behauptung,1
"Die Wirtschaft schrumpft, unsere Industrie ist international unter Druck, die Infrastruktur zum Teil marode.",Behauptung,1
"Die Arbeitslosigkeit steigt, die sozialen Sicherungssysteme si nd in Schieflage.",Behauptung,1
Populisten und Extremisten vertiefen die Spaltung immer weiter.,Behauptung,1
Zugleich erleben wir Herausforderungen historischen Ausmaßes: Deutschland und Europa müssen sich der Bedrohung ihrer Sicherheit erwehren und sind weiter mit massiver illegaler Migration konfrontiert.,Behauptung,1
Hinzu kommen tiefgreifende Umbrüche im Zuge der Digitalisierung und nicht zuletzt die Menschheitsaufgabe Klimawandel.,Behauptung,1
"Wir wissen um die Talente und Fähigkeiten, die jeder Einzelne mitbringt.",Keine Behauptung,0
"Wir wissen, dass mit Eigenverantwortung, Leistung und Solidarität wieder etwas Großes entstehen kann.",Keine Behauptung,0
Wir glauben an die Kraft und den Ideenreichtum der Menschen.,Keine Behauptung,0
"Wir glauben an ein wehrhaftes Deutschland, das Verantwortung in Europa und der Welt übernimmt und seine Interessen selbstbewusst vertritt.",Keine Behauptung,0
Wir glauben an die große Kraft in unserem Land.,Keine Behauptung,0
"Dafür braucht unser Land eine Regierung, die verlässlich arbeitet und die wirklich wichtigen Dinge anpackt: Wohlstand für alle , Sicherheit und Zusammenhalt .",Behauptung,1
Unser Land braucht Stabilität und Aufbruch.,Behauptung,1
Unser Land braucht einen Politikwechsel .,Behauptung,1
Dafür treten wir als CDU und CSU bei der Bundestagswahl gemeinsam an.,Keine Behauptung,0
"Wir glauben daran, dass Deutschland mit einer neuen Politik wieder nach vorne kommt.",Keine Behauptung,0
"Wir sorgen dafür, dass Deutschland mit einer neuen Politik wieder nach vorne kommt.",Keine Behauptung,0
Wir setzen einen starken Impuls für Aufbruch und Zuversicht .,Keine Behauptung,0
"Wir wollen ein Land, das wieder Wohlstand für alle schafft .",Keine Behauptung,0
"Wir wollen e in Land, das frei und wieder sicher ist.",Keine Behauptung,0
"Wir wollen e in Land, das wieder zusammenhält.",Keine Behauptung,0
Wir wollen Deutschland wieder nach vorne bringen.,Keine Behauptung,0
"Unser Plan für ein Land, das wieder Wohlstand für alle schafft Deutschland ist e ine starke Volkswirtschaft.",Keine Behauptung,0
"Wir sind das Land des Mittelstands und der Familienunternehmen, der Hidden Champions und des Handwerks, der Selbständigen und der freien Berufe, der innovativen Gründer und der weltweit erfolgreichen Industrie und Dienstleistungsunternehmen.",Behauptung,1
"Und überall und mittendrin: fleißige Arbeitnehmerinnen und Arbeitnehmer, die unser Land am Laufen halten, kreative Erfinder , exzellente Ingenieure und Landwirte, die uns mit hochwertigen Lebensmitteln versorgen .",Behauptung,1
"Darauf können wir setzen, auch in schwierige r Zeit – und das müssen wir auch .",Keine Behauptung,0
"Die wirtschaft liche Lage in unserem Land ist angespannt , die industrielle Basis brüchig geworden und damit auch die Stabilität unseres sozialen Netzes.",Behauptung,1
"Viele Unternehmen und Betri ebe klagen über hohe Energiepreise, Bürokratiewahnsinn und neue Regulierung am laufenden Band, fehlende Fachkräfte und eine erdrückende Steuerlast.",Keine Behauptung,0
"Und wer nicht klagt, hat schon aufgegeben – entweder den Standort Deutschland, um anderswo zu produzieren, oder ganz und gar.",Behauptung,1
Immer mehr Bürgerinnen und Bürger fragen sich:,Keine Behauptung,0
"Sie wünschen sich eine Gesellschaft , in der sich Leistung lohnt und zugleich denen die Hand gereicht wird , die auf Hilfe angewiesen sind.",Keine Behauptung,0
"Wir stehen zur Sozialen Marktwirtschaft , wir stehen zu Wettbewerb , Wachstum und Wohlstand .",Keine Behauptung,0
"Für uns ist klar: „Wohlstand für alle “ geht nur mit Freiräumen und Planungssicherheit für die Wirtschaft, mit einem starken und gerechten Sozialstaat, mit Eigenverantwortung und Fleiß, der auch belohnt wird.",Keine Behauptung,0
Dafür braucht unser Land jetzt einen Politikwechsel.,Behauptung,1
"Wir wollen e in Land, das wieder Wohlstand für alle schafft.",Keine Behauptung,0
Wir wollen Deutschland wieder nach vorne bringen.,Keine Behauptung,0
Ja zu einer Agenda für die Fleißigen Unser Plan: Leistung muss sich wieder lohnen.,Behauptung,1
Arbeits und Fachkräfte gewinnen.,Keine Behauptung,0
"Leistung muss sich wieder lohnen Arbeit ist sinnstiftend und schafft Wohlstand , wenn die eigene Anstrengung auch belohnt wird.",Behauptung,1
